weight,key,mean_auc_PRIME,mean_auc01_PRIME,pval_icore_PRIME,pval_pep_PRIME
Inv-KL,blsm_mut_score-ratio_rank_squared-Total_Gene_TPM,0.6229612524105833,0.5590451059669952,100,100
KL,aliphatic_index-boman-hydrophobicity-isoelectric_point-dissimilarity_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6360414669126078,0.5321770910383101,100,100
None,aliphatic_index-boman-blsm_mut_score,0.6371966513786971,0.5321996250456051,100,100
None,boman-isoelectric_point-blsm_mut_score-ratio_rank-foreignness_score-Total_Gene_TPM,0.6414147468156791,0.5339195186526041,100,100
KL,boman-isoelectric_point-foreignness_score,0.6195181635617638,0.5223721123230581,100,100
KL-Mask,aliphatic_index-hydrophobicity-blsm_mut_score-EL_rank_wt_aligned-Total_Gene_TPM,0.650012717842251,0.5239182365736377,100,100
KL-Mask,boman-isoelectric_point-dissimilarity_score-blsm_mut_score-EL_rank_wt_aligned-foreignness_score,0.6330812749748267,0.5369281971219023,100,100
KL-Mask,aliphatic_index-boman-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned-Total_Gene_TPM,0.6434084612202993,0.5394745041913418,100,100
Inv-KL,aliphatic_index-boman-isoelectric_point-blsm_mut_score-ratio_rank,0.6124558339803089,0.5218853783524482,100,100
None,aliphatic_index-boman-dissimilarity_score-ratio_rank_squared-EL_rank_wt_aligned,0.6482132750766462,0.5446870802033638,100,100
Inv-KL,blsm_mut_score-ratio_rank_squared-foreignness_score-Total_Gene_TPM,0.6219667294323995,0.5605563563090892,100,100
Inv-KL,isoelectric_point-dissimilarity_score-blsm_mut_score-Total_Gene_TPM,0.6230533791011066,0.5488266565276851,100,100
Inv-KL-Mask,aliphatic_index-boman-hydrophobicity-EL_rank_wt_aligned,0.638845355078277,0.5265513881088868,100,100
None,hydrophobicity-isoelectric_point-dissimilarity_score-ratio_rank_squared-foreignness_score-Total_Gene_TPM,0.6552428384938895,0.5362952826504236,100,100
KL,dissimilarity_score-blsm_mut_score-ratio_rank-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.649949707777169,0.5658497355594647,100,100
None,aliphatic_index-hydrophobicity-dissimilarity_score-foreignness_score,0.6460346661645322,0.539939319460651,100,100
KL-Mask,hydrophobicity-dissimilarity_score-blsm_mut_score-ratio_rank-EL_rank_wt_aligned-Total_Gene_TPM,0.6562894397035492,0.5366092599471872,100,100
Inv-KL,aliphatic_index-boman-dissimilarity_score-blsm_mut_score,0.6229468190062009,0.5194452591738568,100,100
Inv-KL-Mask,boman-hydrophobicity-isoelectric_point-dissimilarity_score-ratio_rank-EL_rank_wt_aligned,0.6538538020826031,0.5249584289862901,100,100
Inv-KL,boman-hydrophobicity-dissimilarity_score-ratio_rank_squared-foreignness_score-Total_Gene_TPM,0.6372996289667331,0.5184406635021344,100,100
KL-Mask,aliphatic_index-hydrophobicity-isoelectric_point-dissimilarity_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score,0.6535297296146353,0.5375500927899013,100,100
KL-Mask,boman-isoelectric_point-dissimilarity_score-blsm_mut_score-EL_rank_wt_aligned,0.6358006208445627,0.5374169140919514,100,100
Inv-KL-Mask,aliphatic_index-boman-isoelectric_point-EL_rank_wt_aligned,0.621633430587071,0.526943975121771,100,100
KL,isoelectric_point-ratio_rank-EL_rank_wt_aligned-foreignness_score,0.6381141775963898,0.5543912837355114,100,100
KL-Mask,aliphatic_index-dissimilarity_score-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score,0.6618135144145623,0.5433035792141211,100,100
KL,isoelectric_point-dissimilarity_score-blsm_mut_score-foreignness_score,0.6581876029066716,0.5501240802841272,100,100
KL,boman-hydrophobicity-isoelectric_point-dissimilarity_score-ratio_rank-EL_rank_wt_aligned-Total_Gene_TPM,0.6330699319606204,0.5280332169197699,100,100
Inv-KL-Mask,aliphatic_index-hydrophobicity-isoelectric_point-EL_rank_wt_aligned-foreignness_score,0.6253594345850058,0.526300711595875,100,100
KL,boman-dissimilarity_score-blsm_mut_score,0.6416391171021291,0.5255934275098544,100,100
KL,aliphatic_index-hydrophobicity-dissimilarity_score-ratio_rank_squared-foreignness_score-Total_Gene_TPM,0.641273911875921,0.5285597909708522,100,100
None,boman-hydrophobicity-dissimilarity_score-blsm_mut_score,0.652645166166834,0.5298642041211549,100,100
Inv-KL-Mask,aliphatic_index-hydrophobicity-isoelectric_point-blsm_mut_score-ratio_rank,0.6376744797075453,0.5274195261972541,100,100
KL,boman-isoelectric_point-dissimilarity_score-ratio_rank_squared-foreignness_score-Total_Gene_TPM,0.6421984525878536,0.5381057994085299,100,100
None,aliphatic_index-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank_squared-foreignness_score,0.6553850339347751,0.5479610646966792,100,100
KL-Mask,dissimilarity_score-blsm_mut_score-ratio_rank-foreignness_score,0.6757045573709374,0.5735541724651945,100,100
Inv-KL,boman-isoelectric_point-ratio_rank_squared-foreignness_score-Total_Gene_TPM,0.6222154561947224,0.5211421741578917,100,100
KL-Mask,aliphatic_index-isoelectric_point-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score,0.6463870607338599,0.5450231443933512,100,100
None,hydrophobicity-isoelectric_point-blsm_mut_score-ratio_rank-Total_Gene_TPM,0.6518870778618919,0.5360840438818666,100,100
KL-Mask,boman-hydrophobicity-dissimilarity_score-foreignness_score-Total_Gene_TPM,0.6357409756746014,0.5281487055632418,100,100
None,aliphatic_index-boman-hydrophobicity-isoelectric_point-EL_rank_wt_aligned-Total_Gene_TPM,0.6304183226513856,0.5278970588325015,100,100
None,isoelectric_point-dissimilarity_score-blsm_mut_score-EL_rank_wt_aligned-Total_Gene_TPM,0.6602253421912044,0.5515064836789026,100,100
KL,aliphatic_index-boman-hydrophobicity-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score,0.6440141097761821,0.5348897802410156,100,100
None,aliphatic_index-hydrophobicity-isoelectric_point-dissimilarity_score-blsm_mut_score-EL_rank_wt_aligned,0.6498187802072367,0.5390346952789419,100,100
KL,boman-dissimilarity_score-blsm_mut_score-ratio_rank-foreignness_score,0.6394918707459931,0.5337438128113305,100,100
None,hydrophobicity-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned-Total_Gene_TPM,0.6494015687121829,0.5372972642426447,100,100
None,aliphatic_index-dissimilarity_score-blsm_mut_score-ratio_rank_squared-foreignness_score-Total_Gene_TPM,0.6507945870013288,0.5451782972253086,100,100
KL,isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank-foreignness_score,0.6596331292693385,0.5607572573415075,100,100
Inv-KL,aliphatic_index-isoelectric_point-blsm_mut_score-ratio_rank_squared,0.6086215946814432,0.5415325765475492,100,100
KL,aliphatic_index-hydrophobicity-isoelectric_point-dissimilarity_score-ratio_rank-foreignness_score-Total_Gene_TPM,0.6358905836149097,0.5224537204366481,100,100
KL-Mask,isoelectric_point-blsm_mut_score-ratio_rank_squared-foreignness_score-Total_Gene_TPM,0.6727068546311807,0.5707123034701396,100,100
KL,isoelectric_point-EL_rank_wt_aligned-foreignness_score,0.6338012654552894,0.5445950887694482,100,100
None,boman-blsm_mut_score-ratio_rank_squared-foreignness_score-Total_Gene_TPM,0.6491378089095595,0.5361480970830951,100,100
KL-Mask,aliphatic_index-hydrophobicity-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6412789914681273,0.5262898697044313,100,100
Inv-KL,boman-hydrophobicity-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned-Total_Gene_TPM,0.6284649977446058,0.5172980246589551,100,100
KL-Mask,boman-dissimilarity_score-blsm_mut_score-ratio_rank_squared-Total_Gene_TPM,0.6520654527108618,0.5400132928381467,100,100
KL-Mask,boman-hydrophobicity-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank_squared-foreignness_score,0.6526726509494687,0.5350491647120954,100,100
KL,isoelectric_point-ratio_rank_squared-foreignness_score-Total_Gene_TPM,0.6478019115641183,0.5540118697153945,100,100
KL,boman-hydrophobicity-dissimilarity_score-ratio_rank_squared,0.6471406275600471,0.5322525832719575,100,100
Inv-KL-Mask,isoelectric_point-dissimilarity_score-blsm_mut_score-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6455551926725024,0.5319828015893209,100,100
KL,aliphatic_index-dissimilarity_score-EL_rank_wt_aligned-Total_Gene_TPM,0.6367276961761232,0.5322559718703751,100,100
KL-Mask,aliphatic_index-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank,0.6631389156568279,0.5470683357863341,100,100
Inv-KL,aliphatic_index-boman-dissimilarity_score-ratio_rank-Total_Gene_TPM,0.6225134637000769,0.5243031022935515,100,100
None,aliphatic_index-hydrophobicity-dissimilarity_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6458337903829701,0.54232557905292,100,100
Inv-KL,isoelectric_point-ratio_rank-foreignness_score-Total_Gene_TPM,0.6094750469190346,0.5602012823438027,100,100
KL,aliphatic_index-hydrophobicity-isoelectric_point-dissimilarity_score-ratio_rank_squared,0.6473828312206988,0.529782407165404,100,100
Inv-KL,aliphatic_index-dissimilarity_score-ratio_rank-Total_Gene_TPM,0.6207804666721153,0.5446811583008003,100,100
Inv-KL-Mask,aliphatic_index-boman-dissimilarity_score-blsm_mut_score-ratio_rank-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6365935667763216,0.5241427771517987,100,100
None,aliphatic_index-hydrophobicity-dissimilarity_score-blsm_mut_score-ratio_rank-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6435470252786707,0.5382447920014078,100,100
KL,isoelectric_point-Total_Gene_TPM,0.6396233717446035,0.5435805393317737,100,100
KL-Mask,aliphatic_index-boman-isoelectric_point-dissimilarity_score-blsm_mut_score-EL_rank_wt_aligned-Total_Gene_TPM,0.6340009868569935,0.5272700757475536,100,100
Inv-KL,blsm_mut_score,0.6050623336049262,0.552973786114155,100,100
Inv-KL,boman-hydrophobicity-dissimilarity_score-ratio_rank-EL_rank_wt_aligned,0.6294503341984278,0.5180629801845207,100,100
None,aliphatic_index-hydrophobicity-isoelectric_point-blsm_mut_score-foreignness_score,0.6413440104324734,0.5348006545398378,100,100
Inv-KL,aliphatic_index-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score,0.6093908718992972,0.5461557411002004,100,100
Inv-KL,isoelectric_point-dissimilarity_score-blsm_mut_score-foreignness_score-Total_Gene_TPM,0.6204176893848744,0.5510402242222735,100,100
Inv-KL-Mask,aliphatic_index-boman-hydrophobicity-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank-foreignness_score,0.6405651627367174,0.5333091202218925,100,100
None,dissimilarity_score-ratio_rank-foreignness_score-Total_Gene_TPM,0.6627371381464561,0.5684573459090597,100,100
KL,blsm_mut_score-EL_rank_wt_aligned,0.642006868579191,0.5446691297188311,100,100
None,boman-dissimilarity_score-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score,0.6520518858085058,0.5473128840521544,100,100
KL-Mask,aliphatic_index-isoelectric_point-dissimilarity_score-ratio_rank-foreignness_score-Total_Gene_TPM,0.6556734128843835,0.5395064459036787,100,100
Inv-KL-Mask,boman-dissimilarity_score-ratio_rank-Total_Gene_TPM,0.646664747957226,0.5129508733417936,100,100
None,aliphatic_index-ratio_rank-EL_rank_wt_aligned-Total_Gene_TPM,0.6324048022018058,0.54338709580937,100,100
KL,boman-isoelectric_point-dissimilarity_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score,0.6403318785129498,0.5407170432220262,100,100
Inv-KL,isoelectric_point-dissimilarity_score-ratio_rank-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.621418370761739,0.5568640043240166,100,100
None,aliphatic_index-hydrophobicity-ratio_rank_squared-EL_rank_wt_aligned-Total_Gene_TPM,0.6388614358543604,0.5373825926258389,100,100
KL,boman-isoelectric_point-ratio_rank,0.6232719598713338,0.5281577045205522,100,100
None,aliphatic_index-hydrophobicity-ratio_rank-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6341892012379493,0.5323230143241163,100,100
KL-Mask,boman-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score,0.6449587337775052,0.5479866196088943,100,100
Inv-KL,aliphatic_index-boman-hydrophobicity-ratio_rank_squared-EL_rank_wt_aligned-Total_Gene_TPM,0.6225587860831682,0.5236744970298931,100,100
Inv-KL,aliphatic_index-boman-dissimilarity_score-blsm_mut_score-ratio_rank_squared,0.6374241822168637,0.5266514868489708,100,100
KL-Mask,aliphatic_index-boman-hydrophobicity-dissimilarity_score-blsm_mut_score-ratio_rank_squared-foreignness_score,0.6545220279165661,0.5344235035622943,100,100
KL-Mask,aliphatic_index-boman-blsm_mut_score-ratio_rank-EL_rank_wt_aligned,0.638636899899004,0.5349902463448161,100,100
Inv-KL,isoelectric_point-dissimilarity_score-ratio_rank_squared-EL_rank_wt_aligned-Total_Gene_TPM,0.6303582147278708,0.5558893990073343,100,100
Inv-KL-Mask,boman-hydrophobicity-blsm_mut_score-EL_rank_wt_aligned-foreignness_score,0.6430656289820791,0.5110707961724872,100,100
KL-Mask,aliphatic_index-boman-hydrophobicity-isoelectric_point-dissimilarity_score-ratio_rank-EL_rank_wt_aligned-Total_Gene_TPM,0.6353939538667366,0.526587501471103,100,100
KL-Mask,boman-EL_rank_wt_aligned-foreignness_score,0.6288089658249024,0.5265557101038568,100,100
KL,hydrophobicity-blsm_mut_score-ratio_rank-Total_Gene_TPM,0.6480225759821384,0.5274850569669555,100,100
Inv-KL-Mask,isoelectric_point-foreignness_score-Total_Gene_TPM,0.6191254398474882,0.5431822041200574,100,100
Inv-KL,boman-isoelectric_point-foreignness_score-Total_Gene_TPM,0.6052617235201746,0.5157294291763098,100,100
Inv-KL-Mask,aliphatic_index-boman-hydrophobicity-dissimilarity_score-ratio_rank-foreignness_score,0.6485900881784169,0.5313336425654206,100,100
Inv-KL,aliphatic_index-hydrophobicity-isoelectric_point-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6035541557079502,0.5242439251187839,100,100
Inv-KL,boman-isoelectric_point-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score,0.6217783437909146,0.5284686488780781,100,100
Inv-KL,aliphatic_index-dissimilarity_score-blsm_mut_score-EL_rank_wt_aligned-Total_Gene_TPM,0.6274788757313172,0.5377628152291414,100,100
Inv-KL-Mask,dissimilarity_score,0.64762545705521,0.5536754655877121,100,100
KL-Mask,boman-hydrophobicity-isoelectric_point-ratio_rank-EL_rank_wt_aligned-foreignness_score,0.6313009431198351,0.5255273268201853,100,100
KL,isoelectric_point-dissimilarity_score-ratio_rank-foreignness_score,0.6567531878995347,0.5549554165280833,100,100
None,hydrophobicity-isoelectric_point-ratio_rank-foreignness_score,0.6429011348627328,0.5364710541085269,100,100
KL,aliphatic_index-boman-ratio_rank,0.6255618671488251,0.5230205853868642,100,100
Inv-KL-Mask,aliphatic_index-hydrophobicity-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank-EL_rank_wt_aligned-foreignness_score,0.6424565332504808,0.5289877734423686,100,100
KL,boman-isoelectric_point-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6348885203215617,0.5393400157333734,100,100
Inv-KL,ratio_rank_squared-EL_rank_wt_aligned,0.6037454315013686,0.5577605222465297,100,100
Inv-KL-Mask,aliphatic_index-isoelectric_point-blsm_mut_score-ratio_rank-EL_rank_wt_aligned-Total_Gene_TPM,0.6260893917115588,0.5358406517254651,100,100
Inv-KL-Mask,aliphatic_index-boman-hydrophobicity-dissimilarity_score-blsm_mut_score-ratio_rank-EL_rank_wt_aligned,0.6527200982062511,0.5292410823142132,100,100
Inv-KL-Mask,aliphatic_index-hydrophobicity-isoelectric_point-blsm_mut_score-foreignness_score,0.6327267763017328,0.523956802152469,100,100
KL,aliphatic_index-hydrophobicity-dissimilarity_score-blsm_mut_score-ratio_rank-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6384349146005682,0.5274063593095912,100,100
Inv-KL-Mask,hydrophobicity-isoelectric_point-dissimilarity_score-blsm_mut_score-EL_rank_wt_aligned-foreignness_score,0.6454470154975046,0.5237751694346828,100,100
None,aliphatic_index-dissimilarity_score-blsm_mut_score-ratio_rank-foreignness_score-Total_Gene_TPM,0.6506708009151011,0.5430099820726648,100,100
KL,aliphatic_index-hydrophobicity-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank-foreignness_score-Total_Gene_TPM,0.6400003008751308,0.5251911235305909,100,100
KL-Mask,aliphatic_index-boman-hydrophobicity-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank_squared,0.6543565691831724,0.5349641611809923,100,100
None,aliphatic_index-boman-dissimilarity_score-ratio_rank_squared-foreignness_score-Total_Gene_TPM,0.6416640959447638,0.5368582124050462,100,100
KL-Mask,boman-hydrophobicity-dissimilarity_score-EL_rank_wt_aligned-foreignness_score,0.6387853400974803,0.5291537342130064,100,100
None,aliphatic_index-blsm_mut_score-foreignness_score-Total_Gene_TPM,0.6442417389932662,0.5361274618455426,100,100
KL,aliphatic_index-boman-dissimilarity_score-blsm_mut_score-ratio_rank_squared-foreignness_score,0.6447613824594246,0.5364497432945141,100,100
None,aliphatic_index-boman-hydrophobicity-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score,0.6458120016810869,0.540922774549134,100,100
KL,aliphatic_index-boman-hydrophobicity-isoelectric_point-dissimilarity_score-blsm_mut_score-foreignness_score,0.6331095669539618,0.5250395375496568,100,100
None,aliphatic_index-boman-hydrophobicity-blsm_mut_score-ratio_rank_squared-foreignness_score-Total_Gene_TPM,0.6453068370417623,0.5318697982536916,100,100
Inv-KL,boman-isoelectric_point-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6081394194970163,0.5204261037414107,100,100
None,aliphatic_index-boman-hydrophobicity-ratio_rank_squared-EL_rank_wt_aligned-Total_Gene_TPM,0.6377699085057389,0.5374823181601437,100,100
Inv-KL-Mask,aliphatic_index-isoelectric_point-dissimilarity_score-ratio_rank-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6296667399943137,0.5390808179809362,100,100
None,hydrophobicity-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6536651505351361,0.5420813801812233,100,100
Inv-KL,dissimilarity_score-blsm_mut_score-ratio_rank-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6291391784508396,0.5598835790451528,100,100
KL-Mask,dissimilarity_score-blsm_mut_score-EL_rank_wt_aligned-Total_Gene_TPM,0.669890259773359,0.5588050297849948,100,100
KL,boman-hydrophobicity-dissimilarity_score-Total_Gene_TPM,0.6306249240903706,0.5218645960281613,100,100
KL,aliphatic_index-hydrophobicity-isoelectric_point-blsm_mut_score-ratio_rank-EL_rank_wt_aligned-Total_Gene_TPM,0.6396439208262797,0.5240287258282861,100,100
KL-Mask,hydrophobicity-ratio_rank-Total_Gene_TPM,0.6530363127458461,0.5386953175789667,100,100
KL-Mask,dissimilarity_score-blsm_mut_score-ratio_rank_squared-foreignness_score-Total_Gene_TPM,0.6750498880194733,0.5813778371360726,100,100
KL-Mask,aliphatic_index-boman-hydrophobicity-dissimilarity_score-ratio_rank_squared-Total_Gene_TPM,0.6473797875172854,0.530606544383103,100,100
KL-Mask,aliphatic_index-boman-hydrophobicity-isoelectric_point-dissimilarity_score-blsm_mut_score-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.634035170570859,0.5261479036212915,100,100
None,boman-hydrophobicity-ratio_rank-EL_rank_wt_aligned,0.6343911542640612,0.5333490907621128,100,100
None,dissimilarity_score-EL_rank_wt_aligned-Total_Gene_TPM,0.6538131546915961,0.5521465917063805,100,100
None,aliphatic_index-boman-hydrophobicity-isoelectric_point-Total_Gene_TPM,0.628811976561558,0.5220436982146329,100,100
Inv-KL-Mask,boman-hydrophobicity-isoelectric_point-blsm_mut_score-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.636659834002907,0.5027030947403921,100,100
Inv-KL-Mask,aliphatic_index-boman-hydrophobicity-isoelectric_point-dissimilarity_score-blsm_mut_score-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.635916204304114,0.5230929946549177,100,100
KL-Mask,aliphatic_index-hydrophobicity-isoelectric_point-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned,0.655646614657447,0.5336866354737557,100,100
None,blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned,0.6529893555451874,0.5617297498430441,100,100
Inv-KL,boman-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank-Total_Gene_TPM,0.6283735566457472,0.5223761790213995,100,100
Inv-KL,aliphatic_index-boman-isoelectric_point-dissimilarity_score-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score,0.6323558315854126,0.5342182501015439,100,100
None,aliphatic_index-hydrophobicity-dissimilarity_score-ratio_rank_squared-EL_rank_wt_aligned-foreignness_score,0.6528107511999965,0.544542851309812,100,100
None,aliphatic_index-hydrophobicity-isoelectric_point-dissimilarity_score-ratio_rank-Total_Gene_TPM,0.6423502993389932,0.5364243855863748,100,100
Inv-KL,boman-hydrophobicity-dissimilarity_score-blsm_mut_score-ratio_rank_squared-foreignness_score-Total_Gene_TPM,0.6385600278959007,0.5175753174299402,100,100
None,blsm_mut_score-ratio_rank_squared,0.6612078567044624,0.5571842026088272,100,100
None,aliphatic_index-dissimilarity_score-blsm_mut_score-ratio_rank_squared-EL_rank_wt_aligned,0.6565255140465402,0.5490532520952935,100,100
KL,dissimilarity_score-ratio_rank-EL_rank_wt_aligned-foreignness_score-Total_Gene_TPM,0.6466698452358933,0.5649427130173603,100,100
KL-Mask,hydrophobicity-blsm_mut_score-Total_Gene_TPM,0.6618699627549524,0.5312939435198988,100,100
None,aliphatic_index-hydrophobicity-isoelectric_point-dissimilarity_score-ratio_rank-foreignness_score-Total_Gene_TPM,0.6392356984224619,0.5367920410449863,100,100
None,isoelectric_point-dissimilarity_score,0.6609236178364664,0.54882177183762,100,100
